,0
aapl.q,0.0011919561027717966
amat.q,0.0005245542624148757
amd.q,0.0009009879265297236
amgn.q,0.00043296687488797073
amzn.q,0.0012954826621466712
atvi.q,0.0008059320283207876
bac.n,0.00033566332938603975
c.n,7.443200437847182e-07
cmcsa.q,0.0004932767119503172
csco.q,0.00036030219002545024
csx.q,0.0007768644967014475
ctsh.q,0.0006444540608744655
ebay.q,0.0004039723395967823
exc.q,0.00010611797798622289
f.n,0.00017950525182314377
fast.q,0.0005843553481815089
fcx.n,0.00035528935697389105
fitb.q,0.0004361160613583173
ge.n,-0.00011036989936917016
gild.q,0.0007162849276644458
hban.q,0.00046631244465942384
intc.q,0.00036739453519829974
jblu.q,0.00044837187026172724
jpm.n,0.0005631491693588391
ko.n,0.00030104635358006515
mdlz.q,0.00022330661521452287
mnst.q,0.001432993816683692
mrvl.q,0.00036227158605968093
msft.q,0.0006109639200528752
mu.q,0.000910726001695427
myl.q,0.00022381545113208802
nflx.q,0.001919500040000396
nlok.q,0.0003919984733171501
ntap.q,0.0003725615816704968
nvda.q,0.001278820323713139
odp.q,0.0002468805044874759
on.q,0.0007526933070148656
orcl.n,0.000474350979048103
pep.q,0.0002873019302103473
pfe.n,0.00015610691466843183
qcom.q,0.00039201678212425986
rost.q,0.0008317133902041698
sbux.q,0.0006217393325925251
siri.q,0.0006070742595986947
t.n,0.0001881550110098139
txn.q,0.0005223513584809871
viac.q,0.0002503721893174158
wba.q,0.0001427145762297898
wfc.n,0.00039222247232065434
xom.n,5.472703751891935e-05
